"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"167","Jalen McMillan","TB","9","WR61","158","152","189","166.3"
"168","Hollywood Brown","KC","10","WR62","168","171","160","166.3"
"169","Houston Texans","DST","6","DST6","132","192","184","169.3"
"170","Jack Bech","LV","8","WR63","177","170","161","169.3"
"171","Jaylen Wright","MIA","12","RB56","183","176","150","169.7"
"172","Rashod Bateman","BAL","7","WR64","179","145","187","170.3"
"173","Bryce Young","CAR","14","QB24","154","202","155","170.3"
"174","Chris Boswell","PIT","5","K5","126","164","222","170.7"
"175","Geno Smith","LV","8","QB25","138","212","166","172.0"
"176","Kyle Williams","NE","14","WR65","175","149","195","173.0"
"177","Sam Darnold","SEA","8","QB26","139","214","168","173.7"
"178","Matthew Stafford","LAR","8","QB27","151","201","169","173.7"
"179","Kansas City Chiefs","DST","10","DST7","114","195","215","174.7"
"180","Adam Thielen","CAR","14","WR66","155","173","196","174.7"
"181","Aaron Rodgers","PIT","5","QB28","134","220","176","176.7"
"182","Kareem Hunt","KC","10","RB57","149","204","177","176.7"
"183","Anthony Richardson Sr.","IND","11","QB29","153","209","179","180.3"
"184","Cade Otton","TB","9","TE20","156","210","175","180.3"
